rank,channel_id,channel_name,channel_url,subscribers,video_count,country,classification,latest_video_id,latest_video_title,latest_video_thumbnail,latest_video_published_at,latest_video_duration_sec,generated_at_utc
15,UCSYUI0C0gG-Kp03GBaO2G9Q,Financial Faiz,https://www.youtube.com/channel/UCSYUI0C0gG-Kp03GBaO2G9Q,366000,1496,MY,other,KKSD2qlvNpM,Beli pakai CASH atau TELCO? (Kewangan) IPHONE 17 PRO,https://i.ytimg.com/vi/KKSD2qlvNpM/mqdefault.jpg,2025-09-22T23:00:11Z,655,2025-09-24T02:21:24Z
16,UC7h4tUtdH0L06sDZVmBMc4Q,The Good Company KE,https://www.youtube.com/channel/UC7h4tUtdH0L06sDZVmBMc4Q,335000,1294,KE,other,rnON3H5i1PM,The Wake Up Call With Grauchi #198 APT,https://i.ytimg.com/vi/rnON3H5i1PM/mqdefault.jpg,2025-09-20T06:15:06Z,5444,2025-09-24T02:21:24Z
17,UChQXn6sL9ENIpA74qqPG1HA,3MenArmy Kenya,https://www.youtube.com/channel/UChQXn6sL9ENIpA74qqPG1HA,292000,893,KE,other,ZIs7w8w6rS4,The97sPodcast Episode 10  - SaManThA,https://i.ytimg.com/vi/ZIs7w8w6rS4/mqdefault.jpg,2025-09-09T16:45:06Z,3535,2025-09-24T02:21:24Z
18,UCsURxs8Kz_qzezpicj-STyw,Capital FM Kenya,https://www.youtube.com/channel/UCsURxs8Kz_qzezpicj-STyw,275000,7903,KE,other,w5fugj8s23s,Capital in the Morning: Smart Application Transforming Healthcare in Africa,https://i.ytimg.com/vi/w5fugj8s23s/mqdefault.jpg,2025-09-22T18:08:18Z,2604,2025-09-24T02:21:24Z
19,UCSVT1XTcae5Flp94OODu4mw,The Obinnaz,https://www.youtube.com/channel/UCSVT1XTcae5Flp94OODu4mw,224000,1317,KE,other,zLgVx9fSioE,Big Boss Adolescence Signs Begin! Oga Obinna Gives Life Lessons | The Obinnaz ,https://i.ytimg.com/vi/zLgVx9fSioE/mqdefault.jpg,2025-09-21T15:00:06Z,658,2025-09-24T02:21:24Z
20,UCEMsE6ZgO2sYnFBGxQK9vPA,Zabe,https://www.youtube.com/channel/UCEMsE6ZgO2sYnFBGxQK9vPA,217000,268,KE,other,xrAdRhypkhA,ZABE: When Oga Obinna Meets Love in Tanzania… Kartelo Can’t Handle It!,https://i.ytimg.com/vi/xrAdRhypkhA/mqdefault.jpg,2025-09-19T15:00:06Z,804,2025-09-24T02:21:24Z
21,UC5h4-WH0LAV4CWs380yM33A,Iko Nini Podcast,https://www.youtube.com/channel/UC5h4-WH0LAV4CWs380yM33A,210000,4489,KE,podcast,FzYwgl4jLyY,Church Betrayal: How Pastors Led Thousands into a Billion-Shilling Property Scam,https://i.ytimg.com/vi/FzYwgl4jLyY/mqdefault.jpg,2025-09-23T10:00:19Z,1698,2025-09-24T02:21:24Z
22,UCD-Mf4F5ZQ1Jw-nb2gqD1mw,Engage Talk,https://www.youtube.com/channel/UCD-Mf4F5ZQ1Jw-nb2gqD1mw,210000,934,KE,other,KPW1S6QKSAI,"My Rise, Fall & Comeback | Jimmi Gathu",https://i.ytimg.com/vi/KPW1S6QKSAI/mqdefault.jpg,2025-09-16T09:15:04Z,2387,2025-09-24T02:21:24Z
23,UCtnEZfBxtAiH0_W1pleUxBg,MBCI TV OFFICIAL,https://www.youtube.com/channel/UCtnEZfBxtAiH0_W1pleUxBg,204000,6691,KE,other,HOFRBYDGrnM,Wednesday Morning Devotion || 24th September 2025,https://i.ytimg.com/vi/HOFRBYDGrnM/mqdefault_live.jpg,2025-09-24T02:09:30Z,,2025-09-24T02:21:24Z
24,UCn6KuzOF0Yp6RyFo-f7ybrQ,KENYA 360 NEWS,https://www.youtube.com/channel/UCn6KuzOF0Yp6RyFo-f7ybrQ,201000,1453,KE,other,4XMRL4G0JuE,KIMANI ichungwa blasted Gathoni WA mushomba she is a big DCP TRAITOR ,https://i.ytimg.com/vi/4XMRL4G0JuE/mqdefault.jpg,2025-09-18T10:10:45Z,486,2025-09-24T02:21:24Z
